HEAD,HANDL,HANDR
-0.2090689;1.688233;0.1033703;0.3357772;0.01110522;0.1372963;0.9318154,-0.1729862;1.009543;0.3671455;-0.1470074;0.3762631;0.7210929;0.5628853,0.06437597;1.076939;0.3819922;-0.06704316;-0.4404643;-0.5391402;0.7147199
-0.2105386;1.687647;0.1050935;0.336798;0.01077677;0.1393423;0.931147,-0.1726571;1.009116;0.3696152;-0.1489977;0.3738798;0.7249434;0.5589907,0.06185696;1.079927;0.3846973;-0.06786676;-0.4412401;-0.5386018;0.7145694
-0.2122586;1.686724;0.1070022;0.3371395;0.01048205;0.1411903;0.9307483,-0.172016;1.008765;0.3733069;-0.1517004;0.3711146;0.7298549;0.5536903,0.05810703;1.084456;0.388718;-0.06871656;-0.4421063;-0.5379365;0.714454
-0.2138841;1.685636;0.108966;0.3368752;0.01019681;0.14265;0.9306246,-0.1714389;1.008415;0.3772527;-0.1543109;0.3694379;0.7338571;0.5487782,0.05466335;1.089263;0.3914458;-0.06933544;-0.4427973;-0.537354;0.7144045
-0.2150864;1.6845;0.1109894;0.3360674;0.01001505;0.1438359;0.9307361,-0.1709733;1.008029;0.3814504;-0.1573441;0.368549;0.7373279;0.5438401,0.0510599;1.093894;0.3951034;-0.06994036;-0.4435629;-0.5367019;0.714361
-0.2160625;1.68347;0.1130132;0.3356712;0.009805818;0.1450186;0.9306977,-0.1705384;1.00771;0.3835393;-0.1597807;0.368331;0.7392218;0.5406973,0.04875653;1.097023;0.3974538;-0.07041536;-0.4442122;-0.536127;0.7143425
-0.2174996;1.682226;0.1151741;0.3356668;0.009722263;0.1463929;0.9304851,-0.1701564;1.007179;0.3873107;-0.1647933;0.3682411;0.7415673;0.5360221,0.04643942;1.100248;0.399814;-0.07109626;-0.4451489;-0.5353108;0.714304
-0.2187256;1.681181;0.1174478;0.3366079;0.009475776;0.1478712;0.9299137,-0.1699019;1.006681;0.3912706;-0.1714385;0.3681195;0.7431798;0.5317712,0.04229211;1.106159;0.403184;-0.0732072;-0.4480582;-0.5328001;0.7141489
-0.2195764;1.680314;0.1198614;0.3386299;0.00921036;0.1494857;0.9289236,-0.169616;1.006154;0.3952079;-0.1789692;0.3677298;0.7443006;0.5279785,0.03913155;1.110476;0.4061409;-0.07496621;-0.4506574;-0.5307762;0.713838
-0.2202011;1.679373;0.12234;0.3409719;0.00868163;0.1512491;0.9277859,-0.1691151;1.00563;0.3976866;-0.1865905;0.3669943;0.7452786;0.5244606,0.03601339;1.114706;0.4092932;-0.07643571;-0.4530908;-0.5291975;0.7133138
-0.2208765;1.678147;0.1248728;0.3428149;0.00813346;0.1530975;0.9268079,-0.1689123;1.005367;0.399934;-0.1918412;0.3663302;0.745961;0.5220549,0.03448156;1.117128;0.4105798;-0.07722107;-0.454567;-0.5284082;0.7128749
-0.2214584;1.676464;0.1276256;0.3445324;0.007214133;0.1556023;0.9257609,-0.1686989;1.004855;0.4035002;-0.1999084;0.3650065;0.7474771;0.517769,0.03200882;1.120589;0.4130648;-0.07808161;-0.4565686;-0.5275648;0.7121264
-0.22199;1.674748;0.1299589;0.3454511;0.006360768;0.1578555;0.9250432,-0.1684101;1.004213;0.406172;-0.2078182;0.3632619;0.7500516;0.5121279,0.03198946;1.120609;0.4130955;-0.07808826;-0.4565815;-0.5275584;0.7121221
-0.2225612;1.672854;0.1323213;0.3461806;0.005372315;0.1603213;0.9243523,-0.1683606;1.00347;0.4092179;-0.215698;0.3612798;0.7532945;0.5054689,0.02682248;1.12728;0.4194046;-0.07899322;-0.4608899;-0.5255061;0.710763
-0.2232503;1.671003;0.1351369;0.3474514;0.004278963;0.1627917;0.923449,-0.1684776;1.002974;0.4113731;-0.2210263;0.3599647;0.7554009;0.5009413,0.02567596;1.128685;0.4206118;-0.07905079;-0.4626653;-0.5241867;0.7105774
-0.2241473;1.667826;0.1403829;0.3524554;0.001600033;0.1675304;0.9207096,-0.1688681;1.002143;0.4165816;-0.2379032;0.3565758;0.7590549;0.4899912,0.02357838;1.130826;0.4230589;-0.07882376;-0.4656248;-0.5214433;0.7106879
-0.2241068;1.666213;0.1429012;0.3550179;-4.510444E-05;0.1696484;0.9193376,-0.1687304;1.002412;0.4174905;-0.2440158;0.3555808;0.7592562;0.4873896,0.01935392;1.134294;0.4281935;-0.07735588;-0.4710653;-0.5151469;0.7118548
-0.223903;1.664419;0.1455658;0.3573184;-0.001736379;0.1716524;0.9180719,-0.1686945;1.002343;0.4197892;-0.2533003;0.3538414;0.7591539;0.4840667,0.017389;1.135724;0.4300542;-0.07580139;-0.4742776;-0.5111465;0.7127722
-0.2235534;1.662421;0.1484127;0.3591833;-0.003249296;0.1735734;0.9169782,-0.1686783;1.002325;0.4206511;-0.2564099;0.3531148;0.7591727;0.4829292,0.01497354;1.137382;0.4330589;-0.07382101;-0.4773321;-0.5076135;0.7134656
-0.22303;1.659979;0.1509511;0.359604;-0.004834405;0.1755768;0.9164248,-0.1686926;1.002849;0.4233182;-0.2714392;0.3478591;0.7611789;0.4753119,0.01331201;1.138472;0.4352286;-0.07231915;-0.4794124;-0.5054904;0.7137319
-0.2225629;1.657415;0.1532299;0.3593192;-0.006316994;0.1776738;0.9161233,-0.1688412;1.002974;0.4246258;-0.2773638;0.3451145;0.7629774;0.4709892,0.01072025;1.140096;0.4385618;-0.07009389;-0.4828326;-0.5024927;0.7137652
-0.2221288;1.654914;0.1557627;0.3594905;-0.007790143;0.1804105;0.9155096,-0.1690516;1.003115;0.4269317;-0.2868392;0.3408404;0.7655268;0.4642411,0.009562206;1.140584;0.4393333;-0.06886615;-0.485471;-0.5004959;0.713498
-0.2215295;1.653055;0.1588984;0.3614675;-0.009392014;0.183317;0.9141378,-0.1691801;1.003259;0.4285066;-0.2936962;0.3379762;0.7667812;0.4599578,0.006301906;1.142617;0.4434704;-0.06720874;-0.4913906;-0.4965197;0.7123809
-0.2209641;1.651991;0.1622801;0.3655392;-0.01138229;0.1863589;0.9118782,-0.1694268;1.002853;0.42993;-0.30817;0.332286;0.767776;0.452921,0.003819766;1.144099;0.4468285;-0.06663195;-0.4961121;-0.4934283;0.7113098
-0.220486;1.650939;0.1651442;0.369088;-0.01357378;0.1889439;0.9098846,-0.1694292;1.002686;0.4310563;-0.3152831;0.3294776;0.7676353;0.4503079,0.002624391;1.144673;0.4481328;-0.06650856;-0.4990408;-0.4913183;0.7107329
-0.2198331;1.64969;0.1679011;0.3716043;-0.01615576;0.1913931;0.908305,-0.1693785;1.002482;0.4322547;-0.3221247;0.3267164;0.7672009;0.4482131,0.0008599777;1.14573;0.4505134;-0.06658442;-0.502812;-0.4883315;0.710126
-0.2192441;1.648301;0.1709077;0.3733475;-0.01855091;0.1935831;0.9070795,-0.168531;1.00203;0.4340255;-0.3347647;0.3212107;0.7659445;0.4450676,-0.0009512138;1.146966;0.4534345;-0.06685169;-0.5053461;-0.4861799;0.7097784
-0.2186451;1.646891;0.1736005;0.3738839;-0.02069072;0.1954967;0.9064016,-0.16783;1.00161;0.4354292;-0.3426776;0.317633;0.7651078;0.4430479,-0.002782864;1.147967;0.4566095;-0.06706232;-0.5066803;-0.4849323;0.7096609
-0.2180343;1.645009;0.1762085;0.3730796;-0.02273004;0.1977142;0.9062032,-0.1673973;1.001404;0.4372133;-0.3498581;0.31455;0.7647117;0.4403107,-0.003395689;1.147741;0.4579621;-0.06702606;-0.5071833;-0.4843871;0.7096773
-0.2174394;1.642966;0.1786245;0.3716741;-0.02451512;0.1994846;0.9063461,-0.1671884;1.001327;0.4384932;-0.3542579;0.3126305;0.7647368;0.4381108,-0.004227417;1.147878;0.4597859;-0.06684851;-0.5073185;-0.4842579;0.7096855
-0.2165993;1.640486;0.1815633;0.3699948;-0.02621116;0.2009697;0.9066576,-0.1661673;1.00104;0.4391771;-0.3611945;0.3096128;0.765044;0.4340348,-0.005655209;1.148309;0.4628642;-0.06633344;-0.5075248;-0.4841645;0.70965
-0.2157789;1.638022;0.1846981;0.3688431;-0.02770241;0.2026632;0.9067056,-0.1657773;1.000735;0.4401352;-0.3661516;0.3073935;0.7654108;0.4307999,-0.006894358;1.148362;0.4649168;-0.06526673;-0.5079041;-0.4841393;0.7094948
-0.2154044;1.636004;0.187737;0.3694999;-0.02907434;0.2049478;0.9058813,-0.1653477;1.00005;0.4418732;-0.3738456;0.3035279;0.7661943;0.4255076,-0.008194672;1.148403;0.4673468;-0.06290362;-0.5088664;-0.4841628;0.7090025
-0.2152036;1.634314;0.1907016;0.3715505;-0.03061613;0.2075244;0.904404,-0.1650632;0.9995893;0.4431485;-0.3791856;0.3004727;0.7667066;0.4220134,-0.009210676;1.148459;0.469203;-0.060604;-0.5099427;-0.4841332;0.7084496
-0.2144223;1.632577;0.1938559;0.3740344;-0.03247552;0.2102934;0.902674,-0.1635628;0.9986188;0.4445745;-0.3895355;0.2939446;0.7672212;0.4162097,-0.01041436;1.14856;0.4711612;-0.05807687;-0.5113367;-0.4839802;0.7077606
-0.2133448;1.63047;0.1968986;0.3761337;-0.03464889;0.2131955;0.9010386,-0.1629376;0.9980077;0.4465294;-0.3966818;0.2892554;0.7671494;0.4128641,-0.01202614;1.14863;0.4736888;-0.05270556;-0.5153233;-0.4831236;0.7058722
-0.212794;1.628199;0.1997416;0.3782334;-0.03688109;0.2160739;0.8993839,-0.161453;0.9965227;0.4477758;-0.402918;0.285279;0.76674;0.4103447,-0.01350244;1.148585;0.4759145;-0.04887459;-0.5194252;-0.4818002;0.7040437
-0.2125267;1.62588;0.2024947;0.3798983;-0.03902274;0.2187675;0.8979395,-0.1606645;0.9957288;0.4490542;-0.4069782;0.2829537;0.7663455;0.4086814,-0.01477579;1.148516;0.4774719;-0.04655892;-0.5224401;-0.4807268;0.7027023
-0.2119802;1.623265;0.2050831;0.3805013;-0.04132834;0.2212031;0.8969838,-0.1597134;0.9948091;0.4510673;-0.4132233;0.279896;0.7658995;0.4053426,-0.01540276;1.148468;0.4782144;-0.04547048;-0.5239283;-0.4802112;0.7020177
-0.2113099;1.620381;0.2077871;0.3808813;-0.04398694;0.223575;0.8961076,-0.158872;0.9938091;0.4530144;-0.4200467;0.2771378;0.7657793;0.4004217,-0.01672278;1.147947;0.4807369;-0.03971157;-0.5307466;-0.4786063;0.6983317
-0.2110132;1.617981;0.2104817;0.3824933;-0.04665025;0.2260063;0.8946753,-0.1570395;0.9917684;0.4537922;-0.4277929;0.2743054;0.7656568;0.3943595,-0.01827568;1.147692;0.4830581;-0.03601481;-0.5337272;-0.4786197;0.6962481
-0.2109221;1.616067;0.2132287;0.3854274;-0.04950704;0.2286021;0.8926007,-0.1562659;0.9907677;0.4549689;-0.4331851;0.2722802;0.7654619;0.3902336,-0.02000584;1.147368;0.4855486;-0.03240777;-0.5356894;-0.4791974;0.6945189
-0.2107845;1.614115;0.2157098;0.3879404;-0.05240444;0.2312386;0.8906654,-0.1555678;0.9896108;0.4561679;-0.4385076;0.2701128;0.7651228;0.3864417,-0.02032067;1.145529;0.4867804;-0.02929578;-0.5367033;-0.4800916;0.6932557
