HEAD,HANDL,HANDR
-0.07086097;1.730392;-0.06370082;0.06979126;-0.0599055;0.03448227;0.9951641,-0.3326496;0.8195356;0.0938717;0.1283464;0.3081896;0.5302943;0.7793165,0.03184457;1.309005;0.3904308;-0.2863209;-0.5605145;-0.5123256;0.5842658
-0.07238127;1.730241;-0.06335638;0.07046738;-0.05996363;0.03454975;0.9951106,-0.3341001;0.8196281;0.09403027;0.1256489;0.306114;0.5314904;0.7797593,0.02568355;1.32032;0.3960761;-0.2928268;-0.5652657;-0.5128249;0.5759668
-0.07376778;1.730106;-0.06300102;0.07076811;-0.06003822;0.03466558;0.9950807,-0.3354961;0.8197108;0.0941868;0.1229693;0.3039629;0.5326287;0.7802511,0.01945663;1.331217;0.4014728;-0.2982998;-0.5702454;-0.512112;0.5688398
-0.07510034;1.729999;-0.06266253;0.07099212;-0.06008809;0.03506557;0.9950477,-0.3368998;0.8197853;0.09443976;0.1202316;0.3016944;0.5337111;0.7808183,0.01309169;1.341778;0.4067378;-0.303355;-0.5753649;-0.5106512;0.5622867
-0.07633541;1.729913;-0.06234099;0.07134861;-0.06035208;0.03547838;0.9949916,-0.337827;0.819833;0.09464706;0.118434;0.3001511;0.5344082;0.7812111,0.007269649;1.350504;0.4117426;-0.3078777;-0.580112;-0.5094117;0.5560408
-0.07743023;1.729853;-0.06211998;0.07182631;-0.06077865;0.03586908;0.9949173,-0.3392521;0.8199013;0.09496497;0.1157643;0.2977798;0.5354288;0.7818196,0.001411103;1.35923;0.4167128;-0.3119274;-0.584219;-0.5090469;0.5497825
-0.07861902;1.729811;-0.06186838;0.07230712;-0.06125119;0.03613576;0.9948438,-0.3405309;0.8199661;0.09526096;0.1131933;0.2954227;0.5363865;0.7824336,-0.002194721;1.364512;0.4199209;-0.3141476;-0.5863684;-0.5095333;0.5457648
-0.07995693;1.729786;-0.06159398;0.0726378;-0.06159045;0.03625789;0.9947943,-0.3418967;0.8200257;0.09553374;0.1105918;0.2929711;0.5373616;0.783058,-0.007725507;1.372347;0.4250244;-0.3168691;-0.5888429;-0.5114729;0.5396792
-0.08119437;1.729682;-0.06125832;0.07281144;-0.06194376;0.03635569;0.9947562,-0.3428605;0.8200652;0.09572865;0.1089728;0.291395;0.5379903;0.7834414,-0.01204051;1.377789;0.4295205;-0.3183151;-0.5900574;-0.5147903;0.534321
-0.08243372;1.729566;-0.06091364;0.07277428;-0.06215979;0.0364183;0.994743,-0.3443478;0.8201243;0.09603839;0.1065348;0.2890013;0.5390011;0.7839684,-0.01202175;1.377765;0.4295021;-0.3183055;-0.590049;-0.5147855;0.5343406
-0.08388904;1.729391;-0.06061234;0.07261094;-0.06230184;0.03659637;0.9947396,-0.3456881;0.8201867;0.09643389;0.1040265;0.2865331;0.5401643;0.7844105,-0.01983761;1.388567;0.4378152;-0.3190655;-0.5901617;-0.521297;0.5274049
-0.08711691;1.728896;-0.0601453;0.07224073;-0.06283151;0.03729491;0.9947073,-0.34795;0.8203047;0.09690227;0.09987999;0.2823271;0.5423903;0.7849384,-0.02709447;1.397938;0.4458566;-0.3218856;-0.5893793;-0.5261519;0.5217144
-0.08879007;1.728656;-0.05992143;0.07207455;-0.06314634;0.03762755;0.9946869,-0.3501302;0.8204011;0.09682579;0.09662822;0.278791;0.5443125;0.7852786,-0.03097714;1.402662;0.4496701;-0.3240494;-0.5896544;-0.5265735;0.5196346
-0.09034079;1.728426;-0.05962185;0.07189721;-0.06344347;0.03785065;0.9946724,-0.3513522;0.8204455;0.09678641;0.09510039;0.2770489;0.5452501;0.7854312,-0.03356973;1.405601;0.4520191;-0.3253898;-0.5902216;-0.526133;0.5185982
-0.09197958;1.728187;-0.05926788;0.07174547;-0.06372263;0.03815193;0.9946539,-0.3530645;0.8205029;0.09686509;0.092951;0.2744883;0.546566;0.7856728,-0.03671485;1.40808;0.4545269;-0.3267035;-0.591517;-0.5248578;0.5175877
-0.09402334;1.727827;-0.05880561;0.07139422;-0.06397987;0.03854704;0.9946474,-0.3548597;0.8205458;0.0969142;0.09101847;0.2720572;0.5477285;0.7859351,-0.04032223;1.411231;0.4574292;-0.3270271;-0.5932283;-0.5233433;0.5169577
-0.0957877;1.727477;-0.05833726;0.07093764;-0.06427534;0.03899907;0.9946435,-0.357339;0.8205608;0.09691602;0.08927296;0.2697405;0.5487309;0.7862346,-0.04401951;1.414347;0.4601198;-0.3263627;-0.5954335;-0.5218557;0.5163459
-0.09897754;1.726884;-0.05741027;0.07049759;-0.06489037;0.03997198;0.9945962,-0.3602425;0.8204871;0.09730962;0.08676778;0.2660021;0.5502437;0.7867312,-0.04843717;1.416958;0.462525;-0.3240523;-0.5987068;-0.5209298;0.5149491
-0.1005715;1.72664;-0.0569721;0.07047166;-0.06516673;0.04047997;0.9945594,-0.3623977;0.8203463;0.09747484;0.08531779;0.2636298;0.5512213;0.787004,-0.05293378;1.420881;0.4653678;-0.3213158;-0.6014638;-0.521456;0.5129144
-0.1022371;1.726478;-0.0564618;0.07058699;-0.06522362;0.04074606;0.9945366,-0.3640378;0.8201419;0.09756726;0.08387889;0.2612523;0.5522651;0.7872197,-0.05577006;1.423836;0.4674188;-0.3202514;-0.6031157;-0.5218743;0.511212
-0.1039343;1.726269;-0.05591376;0.07065754;-0.06513494;0.04093057;0.9945299,-0.3658084;0.8199;0.09770307;0.08226542;0.2587823;0.5534909;0.7873449,-0.05821209;1.424901;0.4686445;-0.32024;-0.6046491;-0.5219399;0.5093376
-0.1056287;1.726037;-0.05541017;0.07061733;-0.06511986;0.04138763;0.9945148,-0.3675416;0.8196418;0.09791751;0.08032952;0.2561227;0.5549302;0.7874014,-0.06081856;1.426827;0.4700615;-0.3208868;-0.6063577;-0.52156;0.5072842
-0.1072504;1.725802;-0.05487948;0.07046639;-0.06518502;0.0420218;0.9944946,-0.3687584;0.8194667;0.09808159;0.07892092;0.2543151;0.555923;0.7874293,-0.0626094;1.428244;0.4710834;-0.3214314;-0.607621;-0.5210971;0.5059016
-0.1088828;1.725525;-0.05426052;0.07036743;-0.06537414;0.04261798;0.9944639,-0.3706215;0.8192111;0.09833991;0.07660921;0.2514434;0.5574944;0.7874689,-0.06541167;1.430479;0.4726901;-0.3220174;-0.6097227;-0.5203202;0.5037954
-0.1104237;1.725338;-0.05365503;0.07044645;-0.06554817;0.04301641;0.9944296,-0.372454;0.818955;0.09872907;0.07405733;0.2483549;0.5591145;0.7875445,-0.06754777;1.430083;0.473219;-0.3219633;-0.6117407;-0.5199502;0.5017617
-0.1123279;1.725105;-0.05301112;0.07059122;-0.06551284;0.04331665;0.9944087,-0.3736933;0.8187822;0.09902295;0.0723594;0.2462437;0.5601515;0.7876283,-0.06751298;1.430044;0.4731921;-0.3219622;-0.6117225;-0.5199552;0.5017794
-0.1158648;1.72479;-0.051773;0.07108479;-0.06501991;0.04346723;0.9943993,-0.3783304;0.8182176;0.1001856;0.06735708;0.2397531;0.5632748;0.787847,-0.07309574;1.433578;0.4769951;-0.3198891;-0.6137468;-0.5219647;0.4985367
-0.1175682;1.724595;-0.05120949;0.07120452;-0.06453048;0.04365478;0.9944144,-0.3800926;0.8179752;0.1006773;0.06490941;0.2364702;0.5647425;0.787994,-0.07454585;1.433881;0.4784905;-0.3197383;-0.6133759;-0.522724;0.4982943
-0.1194077;1.724436;-0.05058663;0.07139144;-0.0640313;0.04387162;0.9944237,-0.3818709;0.8177519;0.1011458;0.0627427;0.2333503;0.5660686;0.788148,-0.07603303;1.435524;0.4801251;-0.3201277;-0.6128376;-0.5231478;0.498262
-0.1212505;1.724314;-0.0499534;0.07163914;-0.06351171;0.04427734;0.9944213,-0.3839863;0.817598;0.1016323;0.06149225;0.2314098;0.5668973;0.7882231,-0.07702662;1.4369;0.4809585;-0.3210303;-0.6120257;-0.5236132;0.49819
-0.1229429;1.724215;-0.04935187;0.07184318;-0.06314679;0.04471365;0.9944103,-0.3864514;0.8173552;0.1023484;0.05973013;0.2285653;0.5680851;0.7883334,-0.07830015;1.437427;0.4809314;-0.3248338;-0.6092461;-0.5254155;0.4972333
-0.1246962;1.724153;-0.04876199;0.0721122;-0.06268563;0.04511274;0.9944019,-0.3884973;0.8171325;0.1029392;0.05808347;0.2258051;0.5691683;0.7884706,-0.07954927;1.437984;0.4813718;-0.3289324;-0.6067113;-0.528141;0.4947444
