HEAD,HANDL,HANDR
0.09668849;1.717042;0.08315392;0.2531571;0.05828828;-0.03290013;0.965107,0.01140059;1.164809;0.4538557;-0.3242181;0.4974805;0.6230465;0.5091256,0.338011;0.8988757;0.1688397;-9.194016E-05;-0.09312008;-0.6324515;0.7689824
0.1002112;1.71698;0.08450864;0.2535942;0.05594621;-0.03283387;0.9651331,0.01553658;1.167869;0.4579876;-0.3255439;0.4974546;0.6216469;0.510015,0.3416676;0.8987442;0.1709425;0.004209146;-0.09453577;-0.6321275;0.7690645
0.1035845;1.716808;0.08576522;0.2539094;0.05366074;-0.03280179;0.9651811,0.01896674;1.170839;0.4616713;-0.3274268;0.4981834;0.6199388;0.5101774,0.3452589;0.8985333;0.1727612;0.00865081;-0.09526917;-0.6318669;0.769151
0.1068003;1.716519;0.08709587;0.254066;0.05143806;-0.03282488;0.9652601,0.02227573;1.173628;0.4652014;-0.3306603;0.499868;0.617184;0.509784,0.3484602;0.898007;0.1744348;0.0134325;-0.09569427;-0.6318045;0.7690809
0.1106545;1.716028;0.08855996;0.2543842;0.04916353;-0.03295457;0.9652905,0.02454432;1.175407;0.4674939;-0.3337977;0.5014391;0.6144834;0.5094587,0.3512505;0.8970959;0.1759143;0.01799046;-0.09599625;-0.6317536;0.7689919
0.1141256;1.715641;0.08983607;0.2549644;0.04714106;-0.03305059;0.965235,0.02781977;1.178036;0.4708155;-0.339115;0.5035193;0.6100048;0.5092773,0.3534734;0.8962826;0.176985;0.02115625;-0.09630866;-0.6316271;0.7689762
0.117257;1.715507;0.09100815;0.2558406;0.04512871;-0.03315855;0.9650956,0.03097862;1.18068;0.474067;-0.3441273;0.5044452;0.6060615;0.5097067,0.3571411;0.8949469;0.1777714;0.02552724;-0.09691352;-0.6312962;0.7690392
0.1203327;1.715401;0.09212074;0.2566468;0.04310015;-0.03309294;0.9649765,0.03245972;1.182015;0.4759406;-0.3470187;0.5042524;0.6039953;0.5103894,0.3605503;0.8939962;0.1781298;0.02983193;-0.09787768;-0.6307127;0.7692409
0.1233419;1.715367;0.09319966;0.2575981;0.0412972;-0.03297381;0.964806,0.03576698;1.184958;0.4804494;-0.3509271;0.501937;0.6019806;0.5123759,0.3627508;0.8934491;0.1785314;0.03269617;-0.09874967;-0.6300209;0.7695798
0.1266386;1.715271;0.09435088;0.258465;0.03948028;-0.03268985;0.9646598,0.0373047;1.186516;0.4828116;-0.3521719;0.5002489;0.6017947;0.5133898,0.3659785;0.8927807;0.1797112;0.03718345;-0.1002308;-0.6288228;0.7701643
0.1322494;1.715146;0.0964835;0.2599396;0.03597231;-0.03172801;0.9644328,0.0400812;1.189549;0.4888193;-0.3549236;0.4955796;0.6021495;0.5156028,0.3743954;0.8915858;0.1798945;0.04476489;-0.1025759;-0.6269283;0.7709963
0.1349014;1.715091;0.0977537;0.2606066;0.03412608;-0.03127047;0.9643349,0.04187053;1.191573;0.4924328;-0.3568786;0.4930457;0.60226;0.5165525,0.3778789;0.8911554;0.1797006;0.047537;-0.1030771;-0.6263791;0.7712099
0.1377814;1.715135;0.09911609;0.2611428;0.03236406;-0.03089753;0.9642626,0.04379827;1.193617;0.4962894;-0.3599186;0.4904802;0.6016769;0.5175642,0.3818044;0.890724;0.1795463;0.05025294;-0.1032519;-0.6258769;0.771422
0.1402915;1.715086;0.1002764;0.2614947;0.03064504;-0.03074315;0.9642283,0.04479501;1.194667;0.4981818;-0.3617076;0.489291;0.6008685;0.5183812,0.384499;0.8904529;0.179615;0.05210237;-0.1031479;-0.6255202;0.7716024
