HEAD,HANDL,HANDR
0.1950932;1.719318;0.002983376;0.03653895;0.08785963;0.004843351;0.9954507,-0.009395363;1.34388;0.4395544;-0.4943452;0.6053562;0.2262915;0.5813423,0.4709204;1.380837;0.3901807;-0.5051347;-0.4989012;-0.1213971;0.6936854
0.1994785;1.719539;0.003369272;0.03588226;0.08539651;0.005360127;0.9956863,-0.006414847;1.352021;0.4447948;-0.5026423;0.6058449;0.2124813;0.5789252,0.4757858;1.389582;0.3940685;-0.5082927;-0.5019338;-0.1079627;0.6914081
0.2039126;1.719775;0.003704354;0.03534769;0.08296238;0.005945159;0.9959079,-0.00469045;1.355873;0.4485496;-0.5075774;0.606218;0.2051923;0.5768543,0.479822;1.398631;0.3989104;-0.510975;-0.5041022;-0.09789219;0.6893495
0.2081118;1.720093;0.004001826;0.03523686;0.08041294;0.006430066;0.9961179,-0.002272222;1.362928;0.4539567;-0.5135673;0.607097;0.1976633;0.5732461,0.4834149;1.407481;0.4040681;-0.5126607;-0.5059664;-0.09136709;0.6876258
0.2121367;1.720354;0.004324734;0.03520538;0.07791246;0.006595362;0.9963166,-8.422043E-05;1.369822;0.4594062;-0.517978;0.6081375;0.1931605;0.5696987,0.4894873;1.408514;0.4075745;-0.5129696;-0.507379;-0.08884843;0.686684
0.2164827;1.720553;0.004648745;0.03526308;0.07525196;0.006754307;0.996518,0.002057894;1.375735;0.4648302;-0.5217214;0.6084704;0.1895223;0.5671437,0.4939525;1.415342;0.4127529;-0.5121131;-0.5099525;-0.08732378;0.6856115
0.220649;1.720643;0.004904509;0.03534598;0.07244223;0.006530953;0.9967247,0.003867421;1.38192;0.4701639;-0.5262744;0.6072609;0.1846853;0.5658275,0.4980335;1.422676;0.4181708;-0.5102542;-0.5127761;-0.08711504;0.6849177
0.2282159;1.720791;0.005443946;0.03556111;0.0668123;0.006105264;0.997113,0.006977593;1.391821;0.4792266;-0.536386;0.6014069;0.1752835;0.5655754,0.5086448;1.433356;0.4285537;-0.5083897;-0.516524;-0.08457255;0.6838058
0.2316446;1.720946;0.005713567;0.03580351;0.06431738;0.00589146;0.9972696,0.008825076;1.39614;0.4845437;-0.542675;0.5968434;0.1718466;0.5654649,0.5112803;1.437345;0.4319402;-0.508657;-0.5175713;-0.08262949;0.6830522
0.2353965;1.721173;0.006170079;0.03610868;0.06189164;0.005542788;0.9974141,0.009922529;1.399481;0.4881215;-0.5462283;0.5941519;0.1713627;0.5650249,0.5148905;1.443028;0.4371143;-0.5098858;-0.5191165;-0.07868673;0.6814272
0.2386712;1.721439;0.006515905;0.03644508;0.05990393;0.004961397;0.9975263,0.01156492;1.404548;0.4935352;-0.5501359;0.5913998;0.1728955;0.5636523,0.5201583;1.446006;0.4414062;-0.5115315;-0.5205803;-0.07446364;0.679549
0.2417832;1.72172;0.006759852;0.03680741;0.05793678;0.004419993;0.9976317,0.01319219;1.409351;0.4989189;-0.5521663;0.5904764;0.1760505;0.5616549,0.5225572;1.448836;0.4444478;-0.5123423;-0.5215677;-0.07214463;0.6784304
0.2448813;1.722049;0.007019594;0.03720598;0.05603618;0.003797155;0.997728,0.01516363;1.414832;0.5014641;-0.5523255;0.5911407;0.1791046;0.559831,0.5255563;1.453376;0.4493125;-0.512758;-0.5230523;-0.06988792;0.6772084
0.2485876;1.7225;0.007621095;0.03770603;0.05416344;0.00332289;0.9978144,0.01689139;1.419706;0.5052963;-0.5518695;0.5923977;0.1809713;0.5583498,0.5255527;1.453353;0.449294;-0.5127554;-0.523048;-0.06989767;0.6772128
0.2516048;1.722773;0.007956818;0.03775124;0.05247882;0.002959659;0.9979038,0.01812144;1.424242;0.5089461;-0.551605;0.5937155;0.1813643;0.5570824,0.5302083;1.457887;0.4560249;-0.51218;-0.524589;-0.06946997;0.6764999
0.2542435;1.722915;0.008155242;0.0375927;0.05089742;0.002717554;0.9979924,0.01817825;1.42676;0.5117287;-0.5516488;0.5944566;0.1808544;0.5564142,0.5345476;1.464298;0.4642503;-0.51078;-0.5262035;-0.0708064;0.6761659
0.2569185;1.723045;0.008346453;0.03739663;0.04949782;0.002415661;0.998071,0.0184635;1.429434;0.5143773;-0.5518453;0.5949174;0.1799537;0.5560186,0.5370562;1.468162;0.4686872;-0.5101567;-0.526835;-0.07118422;0.6761051
0.2598117;1.723265;0.008504644;0.03739749;0.0481542;0.002073988;0.9981374,0.01927552;1.434272;0.5196557;-0.5526649;0.5949086;0.1764539;0.5563356,0.5399949;1.469468;0.4711237;-0.5100787;-0.5269586;-0.07111694;0.6760746
0.2619721;1.723492;0.008603126;0.03754033;0.04706331;0.001642032;0.9981849,0.01994831;1.436475;0.5224261;-0.5532868;0.5940188;0.1735338;0.5575854,0.543242;1.472045;0.4748298;-0.5102464;-0.5269648;-0.07091442;0.6759645
0.2640429;1.723695;0.008710653;0.03771287;0.0457146;0.001513117;0.9982413,0.02148585;1.440459;0.5252196;-0.5536927;0.5916613;0.1700289;0.5607598,0.543968;1.472933;0.4761418;-0.5103526;-0.52695;-0.0708573;0.6759019
0.2659712;1.72385;0.008801788;0.03779804;0.04432276;0.001463416;0.9983009,0.02281936;1.443933;0.5285159;-0.5533415;0.5883988;0.1684514;0.5649992,0.5467443;1.475758;0.4813819;-0.5109944;-0.5269456;-0.07098749;0.6754065
0.2681073;1.724006;0.008860305;0.03784565;0.04275227;0.001354867;0.9983677,0.02415723;1.447466;0.5315825;-0.5526454;0.5846353;0.1687468;0.5694815,0.5481976;1.477353;0.4848594;-0.5113528;-0.5273019;-0.07199232;0.6747504
0.2701717;1.724117;0.00889951;0.03778897;0.04117175;0.00124172;0.9984365,0.02576738;1.450686;0.5334818;-0.5522655;0.5811387;0.1706759;0.572844,0.5493348;1.479228;0.4883633;-0.5106241;-0.52874;-0.07575831;0.6737639
0.2719631;1.724037;0.008953869;0.03744056;0.03945367;0.001148978;0.9985191,0.02689193;1.452754;0.5346432;-0.5523751;0.5791433;0.1725989;0.5741814,0.5508748;1.481027;0.491533;-0.5076412;-0.5308198;-0.08205555;0.6736453
