HEAD,HANDL,HANDR
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342058;0.2567043;0.2128992;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238848;-0.3342062;0.2567048;0.212899;0.881523,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342058;0.2567043;0.2128993;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238848;-0.3342065;0.2567054;0.2128989;0.8815227,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342056;0.2567046;0.2128994;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238848;-0.3342058;0.2567052;0.212899;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383365;0.7238847;-0.3342061;0.2567059;0.2128989;0.8815228,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238849;-0.3342046;0.2567046;0.2128996;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342049;0.2567052;0.2128994;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342049;0.2567052;0.2128996;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238849;-0.3342048;0.2567053;0.2128996;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383366;0.7238848;-0.3342052;0.2567059;0.2128996;0.881523,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238848;-0.3342047;0.2567056;0.2129;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238848;-0.3342047;0.2567056;0.2128999;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238848;-0.3342046;0.2567058;0.2129001;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238848;-0.3342044;0.2567059;0.2129;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238848;-0.3342043;0.256706;0.2129001;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238848;-0.3342043;0.2567061;0.2129002;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238848;-0.3342042;0.2567062;0.2129005;0.881523,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238848;-0.3342037;0.2567058;0.2129009;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238848;-0.3342037;0.2567059;0.2129009;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342041;0.2567064;0.2129008;0.8815229,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.938337;0.7238848;-0.3342032;0.2567055;0.2129013;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342041;0.2567064;0.2129009;0.8815229,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.938337;0.7238848;-0.3342032;0.2567055;0.2129013;0.8815233,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.938337;0.7238848;-0.3342032;0.2567055;0.2129013;0.8815234,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238847;-0.3342041;0.2567065;0.212901;0.8815229,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238848;-0.3342035;0.2567061;0.2129012;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238848;-0.3342035;0.2567061;0.2129012;0.8815231,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383367;0.7238847;-0.3342038;0.2567067;0.212901;0.8815229,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383368;0.7238848;-0.3342034;0.2567062;0.2129011;0.8815232,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
-1.033905;0.8370268;0.8160616;-0.03491184;-0.1524297;0.005242221;0.9876836,-1.364646;0.9383369;0.7238849;-0.3342029;0.2567058;0.2129013;0.8815235,-0.9005651;0.9475652;0.9344782;-0.3110409;-0.2950037;-0.2217283;0.8758214
